,Date,Vélib,Pollution,année
0,January,41.9480199887873,43.8127927927928,2021
1,February,46.36041470199925,42.43432984554061,2021
2,March,60.24500999794914,41.22574931880109,2021
3,April,56.97840177133655,32.416295264623955,2021
4,May,58.35456201756132,26.94526693584567,2021
5,June,78.17480546291884,30.228869047619053,2021
6,July,64.60532945736435,27.57479224376731,2021
7,August,49.659062980030725,22.09247311827957,2021
8,September,84.04581808563604,47.69053794428434,2021
9,October,70.143710680001,54.75117117117117,2021
10,November,60.75703541079709,65.8244289044289,2021
11,December,48.02999416487503,57.122630385487525,2021
